"label","type","caption","alt_text"
"selectivity","figure","Age-based selectivity for each fleet estimated by the assessment model.","Line graph showing age-based selectivity from 1886 to 2032. The x axis shows age in years, which spans from 0 to 25. The y axis shows the proportion of the stock that the gear selects for, which spans from 0--1."
"stock_recruitment","figure","Stock recruitment relationship estimated by the assessment model. ","Point and line graph showing the relationship between stock biomass and newly recruited age 0 fish as estimated by the assessment model. Points represent model estimates of recruitment each year as a function of stock biomass, after adjusted by annual recruitment deviations. The line represents the best fit through the points for the stock relationship selected for use in the assessment model. The x axis shows spawning biomass in mt, which spans from 5355.41 to 20434.5. The y axis shows recruitment in mt, which spans from 6300.92 to 47442.7."
"recruitment","figure","Estimated recruitment by the assessment model each year in mt.","Line graph showing the assessment model estimated recruitment in mt for each year. The x axis shows years, which spans from 1887 to 2032. The y axis shows recruitment in mt, which spans from 6300.92 to 47442.7."
"recruitment.comp","figure","Predicted (black points) and expected (red line) recruitment by the assessment model each year in mt.","Scatter plot showing the assessment model estimated recruitment in mt for each year with a red line showing the predicted recruitment in mt for each year. The x axis shows years, which spans from 1887 to 2032. The y axis shows recruitment in mt, which spans from 6300.92 to 47442.7."
"relative.recruitment","figure","Estimated relative recruitment by the assessment model each year in mt, calculated as R/R~0~ where R~0~ is R0.","Line graph showing the assessment model estimated relative recruitment in mt for each year. The x axis shows year, which spans from 1887 to 2032. The y axis shows relative recruitment (R/R~0~), which spans from rel.recruitment.min to rel.recruitment.max mt."
"recruitment_deviations","figure","Annual deviations (on natural log scale) in the number of newly recruited fish the model estimates each year. ","Scatterplot showing annual deviations in recruitment. Points have error bars and the dashed horizontal line at 0 represents no deviation from what would be estimated by the stock-recruit relationship. Positive values represent an increase in recruitment that year while negative values represent a decrease. The x axis shows year, which spans from 1889 to 2020. The y axis shows the recruitment deviation, which spans from -0.779 to 1.153 on a natural log scale."
"tot.b","figure","Estimated biomass (B) time series. The horizontal dashed line represents the biomass limit reference point at msy mt.","Line graph showing estimated biomass time series. The x axis shows the year, which spans from 1887 to 2032. The y axis shows estimated biomass in mt, which spans from 0.03 to 7184.72."
"spawning_biomass","figure","Estimated spawning biomass (SB) time series. The horizontal dashed line represents the spawning biomass associated with the biomass limit reference point (msy mt).","Line graph showing estimated spawning biomass. The x axis shows the year, which spans from 1889 to 2032. The y axis shows estimated spawning biomass in mt, which spans from 5355.41 to 20434.5."
"relative.spawning.biomass","figure","Estimated relative spawning biomass time series. The horizontal dashed line represents the limit reference point calculated as SB/SB(reference point) (msy mt).","Line graph showing estimated relative spawning biomass. The x axis shows the year, which spans from 1889 to 2032. The y axis shows estimated relative spawning biomass (SB/SB~target~), which spans from rel.ssb.min to rel.ssb.max mt."
"spr","figure","Estimated spawning potential ratio (SPR) (SB~current~/SB~target~) time series. The horizontal dashed line represents the spawning potential ratio of the limit reference point at spr.ref.pt.","Line graph showing estimated spawning potential ratio over time. The x axis shows the year, which spans from 1889 to 2032. The y axis shows estimated spawning potential ratio in SB~current~/SB~target~, which spans from spr.min to spr.max."
"biomass_at_age","figure","Estimated population numbers at age and population biomass at age over time. The relative size of each bubble for a given year and age indicates the relative abundance or biomass in that category compared with others. ","Bubble plot showing estimated population numbers at age and population biomass at age. The x axis shows the year, which spans from pop.baa.start.year to pop.baa.end.year. The y axis shows age, which spans from pop.baa.age.min to pop.baa.age.max. The size of the bubbles range from pop.baa.fish.min to pop.baa.fish.max."
"proj.catch","figure","Forecasted catch in proj.catch.units over future years for different fishing mortality scenarios as indicated in the legend.","Time series line graph showing forecasted catch over future years for different fishing mortality scenarios. The x axis shows the year, which spans from proj.catch.start.year to proj.catch.end.year. The y axis shows catch in proj.catch.units, which spans from proj.catch.min to proj.catch.max."
"proj.biomass","table","Forecasted biomass over future years for different fishing mortality scenarios.",""
"report.version.model.changes","table","Document version history briefly describing when major changes or updates are made to each version of the report.",""
"projections","table","Forecasted catch, spawning biomass, and fishing mortality over future years. ",""
"total_catch","table","Total catch by fleet over time.",""
"life.history.params","table","Life history parameters used in the stock assessment model. The last column of the table indicates whether the parameters were estimated by the model or fixed.",""
"landings","table","Landed catch by fleet and year in mt.",""
"discards","table","Discarded catch by fleet and year in discards.tbl.units.",""
"age.length.key","table","Age-length key: the proportion of fish for each age that belong to a particular length group. ",""
"index","table","Calculated index of abundance and corresponding CVs for the fleets and surveys identified in the column headers. ",""
"model.runs","table","The base configuration and alternative sensitivity analysis configurations of the stock assessment model, in which parameters and/or data input streams are changed from one configuration to another.",""
"derived.quantities","table","Derived quantities calculated by the base configuration of the stock assessment model.",""
"est.params","table","Parameters used in the base stock assessment model and whether the parameter was estimated by the model or fixed (i.e. not allowed to be estimated or changed by the model). CVs for estimated models are provided.",""
"F.per.fleet.per.year","table","Partial fishing mortality estimates for each fleet in the assessment model.",""
"bnc","table","Historical biomass, spawning biomass, abundance, and catch time   series estimated by the base configuration of the stock assessment model.",""
"naa","table","Historical population abundance (numbers) estimated by the base model for each age group.",""
"catchability","table","Catchability over time for fleet catchability.fleet.",""
"sensitivity.runs","table","Forecasted catch, biomass, spawning biomass, recruitment, fishing mortality, and stock status as projected from the base model configuration.",""
"catch_comp","figure","Fishery age composition (caa.start.year-caa.end.year). The area of the circle is proportional to the catch. Diagonal lines indicated the top 5\\% strongest year classes.","Bubble plot showing estimated total catch at age. The x axis shows the year, which spans from caa.start.year to caa.end.year. The y axis shows age, which spans from caa.age.min to caa.age.max. The size of the bubbles range from tot.catch.min to tot.catch.max."
